rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2
5303,10031907,K03828.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5697.00,154.00,-171.00,4.539,0.037,-0.200,0.0700,0.2500,-0.3000,0.8920,0.2640,-0.0700,1.0040,0.1000,-0.1220,,,
5304,6525946,K02093.02,,CANDIDATE,CANDIDATE,0.9800,5096.00,77.00,-46.00,2.435,0.117,-0.143,-1.5200,0.1500,-0.1500,8.7690,3.3190,-1.1060,0.7630,0.3670,-0.0150,,,
5305,5480736,K03904.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6212.00,194.00,-237.00,4.420,0.070,-0.210,-0.1200,0.2500,-0.3000,1.0540,0.3660,-0.1220,1.0600,0.1680,-0.1370,,,
5306,8487748,K03905.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,4304.00,116.00,-142.00,4.675,0.065,-0.025,-0.5800,0.3000,-0.3000,0.5660,0.0440,-0.0590,0.5520,0.0560,-0.0460,,,
5307,9892856,K03906.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6167.00,169.00,-253.00,4.428,0.052,-0.208,0.2100,0.2000,-0.3500,1.1070,0.3500,-0.1250,1.2000,0.1470,-0.1640,,,
5308,7137213,K03907.01,,FALSE POSITIVE,FALSE POSITIVE,1.0000,6507.00,155.00,-194.00,4.002,0.253,-0.117,-0.3800,0.3000,-0.3000,1.7670,0.3510,-0.5270,1.1450,0.1920,-0.1570,,,
5309,6795089,K07792.01,,FALSE POSITIVE,FALSE POSITIVE,0.1330,4895.00,98.00,-122.00,2.674,0.030,-0.030,-0.3400,0.2500,-0.2500,9.5290,0.7710,-1.8000,1.5630,0.2720,-0.5440,,,
5310,3340313,K03677.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6441.00,179.00,-246.00,4.367,0.072,-0.203,-0.1200,0.2500,-0.3000,1.1650,0.3810,-0.1360,1.1520,0.1850,-0.1520,,,
5311,9892816,K01955.04,Kepler-342 c,CONFIRMED,CANDIDATE,0.9930,6297.00,113.00,-126.00,4.260,0.090,-0.110,0.1400,0.1500,-0.2000,1.3690,0.2280,-0.1870,1.2470,0.0910,-0.1110,,,
5312,4150804,K03678.01,Kepler-1513 b,CONFIRMED,CANDIDATE,1.0000,5650.00,186.00,-186.00,4.313,0.225,-0.225,-0.2800,0.3000,-0.2500,1.0440,0.3490,-0.2320,0.8180,0.1270,-0.0580,,,
5313,5021174,K03679.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5780.00,,,4.438,,,0.0000,0.0000,0.0000,1.0000,,,1.0000,,,,,
5314,9025971,K03680.01,Kepler-1657 b,CONFIRMED,CANDIDATE,0.9990,5705.00,104.00,-115.00,4.397,0.095,-0.105,0.0000,0.1500,-0.1500,1.0170,0.1470,-0.1070,0.9410,0.0680,-0.0560,,,
5315,2581316,K03681.01,Kepler-1514 b,CONFIRMED,CANDIDATE,0.8600,6259.00,99.00,-136.00,4.385,0.034,-0.128,0.1400,0.1500,-0.1500,1.1670,0.2120,-0.0850,1.2100,0.0840,-0.0930,,,
5316,9973109,K02018.02,,CANDIDATE,CANDIDATE,0.9950,5657.00,169.00,-169.00,4.401,0.167,-0.204,-0.4800,0.3000,-0.3000,0.9110,0.2620,-0.1610,0.7620,0.1240,-0.0440,,,
5317,6314185,K03752.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5977.00,179.00,-197.00,4.318,0.190,-0.190,-0.4600,0.3000,-0.3000,1.0680,0.2910,-0.2380,0.8640,0.1200,-0.0700,,,
5318,8620561,K03753.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,4768.00,151.00,-170.00,4.661,0.056,-0.032,-0.8200,0.3000,-0.3000,0.5910,0.0460,-0.0460,0.5840,0.0570,-0.0330,,,
5319,8937019,K03754.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5780.00,,,4.438,,,0.0000,0.0000,0.0000,1.0000,,,1.0000,,,,,
5320,9896435,K03755.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,4848.00,173.00,-173.00,4.550,0.065,-0.040,0.0600,0.2500,-0.3000,0.7640,0.0560,-0.0740,0.7550,0.0750,-0.0620,,,
5321,10352938,K03756.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6318.00,177.00,-243.00,4.079,0.258,-0.172,0.0600,0.2500,-0.3000,1.6850,0.5040,-0.5040,1.2420,0.2020,-0.2020,,,
5322,10676927,K03830.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5666.00,181.00,-202.00,4.601,0.036,-0.135,-0.4800,0.3000,-0.3000,0.7520,0.1570,-0.0670,0.8410,0.0790,-0.0960,,,
5323,5649836,K03831.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5780.00,,,4.438,,,0.0000,0.0000,0.0000,1.0000,,,1.0000,,,,,
5324,7620660,K03832.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5858.00,174.00,-209.00,4.553,0.036,-0.192,-0.2600,0.3000,-0.3000,0.8490,0.2510,-0.0840,0.9400,0.0990,-0.1210,,,
5325,3836399,K03834.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,4911.00,146.00,-131.00,4.564,0.066,-0.039,-0.2200,0.3000,-0.3000,0.7240,0.0620,-0.0690,0.7000,0.0950,-0.0470,,,
5326,2581554,K03835.01,Kepler-1521 b,CONFIRMED,CANDIDATE,0.9950,4975.00,100.00,-100.00,4.579,0.038,-0.031,-0.1400,0.1500,-0.1500,0.7340,0.0390,-0.0390,0.7460,0.0470,-0.0360,,,
5327,3128552,K02055.03,Kepler-1073 d,CONFIRMED,CANDIDATE,1.0000,5509.00,82.00,-74.00,4.308,0.156,-0.104,0.1600,0.1500,-0.1500,1.1160,0.1690,-0.1860,0.9240,0.0620,-0.0430,,,
5328,10363115,K03908.01,Kepler-1929 b,CONFIRMED,CANDIDATE,0.6180,5786.00,115.00,-104.00,4.106,0.188,-0.101,-0.0200,0.1500,-0.1500,1.4710,0.2330,-0.3210,1.0060,0.0980,-0.0800,,,
5329,5966810,K03909.01,,CANDIDATE,CANDIDATE,0.9700,6121.00,82.00,-82.00,4.163,0.154,-0.126,0.1600,0.1500,-0.1500,1.5360,0.2810,-0.2810,1.2570,0.0950,-0.1310,,,
5330,10491062,K03910.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5310.00,185.00,-185.00,4.565,0.045,-0.105,-0.1000,0.3000,-0.3000,0.7910,0.1430,-0.0660,0.8380,0.0870,-0.0870,,,
5331,9761615,K03911.01,Kepler-1528 b,CONFIRMED,CANDIDATE,1.0000,6040.00,163.00,-199.00,4.469,0.054,-0.216,-0.0200,0.2500,-0.3000,0.9990,0.3180,-0.1060,1.0700,0.1340,-0.1470,,,
5332,4058881,K03912.01,,FALSE POSITIVE,FALSE POSITIVE,0.0010,6014.00,181.00,-199.00,4.486,0.050,-0.200,0.0700,0.2000,-0.3500,0.9930,0.2860,-0.0950,1.1010,0.1160,-0.1590,,,
5333,6863158,K07793.01,,CANDIDATE,CANDIDATE,0.6020,3799.00,68.00,-68.00,4.738,0.036,-0.021,-0.1000,0.1000,-0.1000,0.5100,0.0250,-0.0340,0.5180,0.0300,-0.0300,,,
5334,2581316,K03681.02,Kepler-1514 c,CONFIRMED,CANDIDATE,0.9940,6259.00,99.00,-136.00,4.385,0.034,-0.128,0.1400,0.1500,-0.1500,1.1670,0.2120,-0.0850,1.2100,0.0840,-0.0930,,,
5335,8621353,K03682.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5780.00,,,4.438,,,0.0000,0.0000,0.0000,1.0000,,,1.0000,,,,,
5336,10795103,K03683.01,Kepler-1515 b,CONFIRMED,CANDIDATE,1.0000,6471.00,116.00,-141.00,4.287,0.063,-0.117,0.1600,0.1500,-0.2000,1.3570,0.2420,-0.1380,1.3030,0.0950,-0.1050,,,
5337,9394601,K03684.01,,FALSE POSITIVE,FALSE POSITIVE,0.0270,6344.00,158.00,-190.00,4.481,0.054,-0.216,-0.4200,0.3000,-0.3500,0.9620,0.3030,-0.1010,1.0240,0.1320,-0.1320,,,
5338,8494410,K03685.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5914.00,160.00,-178.00,4.421,0.101,-0.188,-0.2200,0.3000,-0.3000,0.9870,0.2720,-0.1460,0.9380,0.1200,-0.1090,,,
5339,8494410,K03685.02,Kepler-1516 b,CONFIRMED,CANDIDATE,1.0000,5914.00,160.00,-178.00,4.421,0.101,-0.188,-0.2200,0.3000,-0.3000,0.9870,0.2720,-0.1460,0.9380,0.1200,-0.1090,,,
5340,6863161,K03757.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,9191.00,286.00,-430.00,3.973,0.237,-0.172,0.0700,0.2000,-0.7000,2.6190,0.8050,-0.9840,2.3490,0.3840,-0.7130,,,
5341,7840035,K03758.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5496.00,199.00,-182.00,4.405,0.158,-0.193,-0.2200,0.3000,-0.3000,0.9270,0.2310,-0.1540,0.7980,0.1290,-0.0550,,,
5342,8543279,K03759.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5402.00,177.00,-193.00,4.581,0.032,-0.128,0.0700,0.2500,-0.3000,0.8150,0.1580,-0.0680,0.9310,0.0630,-0.1080,,,
5343,8047283,K03760.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5861.00,186.00,-206.00,4.546,0.037,-0.213,-0.2000,0.3000,-0.3000,0.8650,0.2740,-0.0910,0.9570,0.1080,-0.1200,,,
5344,8308347,K03761.01,,CANDIDATE,CANDIDATE,0.0000,5001.00,191.00,-174.00,4.603,0.066,-0.048,-0.5800,0.3500,-0.3000,0.6640,0.0700,-0.0640,0.6450,0.0830,-0.0360,,,
5345,7090867,K07810.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,4852.00,83.00,-131.00,2.896,0.030,-0.030,0.0400,0.2000,-0.2500,7.7970,0.5230,-1.6720,1.7420,0.2170,-0.6520,,,
5346,7612691,K03836.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,4969.00,178.00,-158.00,4.713,0.045,-0.024,-1.6000,0.3000,-0.2500,0.5430,0.0270,-0.0300,0.5560,0.0430,-0.0200,,,
5347,9761573,K03837.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6540.00,183.00,-252.00,4.321,0.105,-0.195,-0.3800,0.2500,-0.3000,1.1830,0.3400,-0.1830,1.0660,0.1750,-0.1170,,,
5348,8042789,K03838.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5452.00,164.00,-164.00,4.572,0.034,-0.136,-0.0400,0.3000,-0.3000,0.8150,0.1630,-0.0700,0.9100,0.0730,-0.1010,,,
