rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2
1300,10027323,K01596.01,Kepler-309 b,CONFIRMED,CANDIDATE,1.0000,3883.00,69.00,-93.00,4.762,0.040,-0.036,-0.2800,0.1500,-0.1500,0.4960,0.0360,-0.0440,0.5180,0.0290,-0.0440,,,
1301,10027323,K01596.02,Kepler-309 c,CONFIRMED,CANDIDATE,0.7380,3883.00,69.00,-93.00,4.762,0.040,-0.036,-0.2800,0.1500,-0.1500,0.4960,0.0360,-0.0440,0.5180,0.0290,-0.0440,,,
1302,12019440,K00186.01,Kepler-485 b,CONFIRMED,CANDIDATE,0.9980,5823.00,69.00,-87.00,4.438,0.051,-0.127,0.1000,0.1500,-0.1500,1.0130,0.1660,-0.0710,1.0270,0.0630,-0.0630,,,
1303,5039228,K01597.01,,CANDIDATE,CANDIDATE,1.0000,6521.00,117.00,-143.00,4.352,0.025,-0.136,0.2100,0.1500,-0.1500,1.2760,0.2550,-0.0680,1.3340,0.0950,-0.0860,,,
1304,10004738,K01598.01,Kepler-310 c,CONFIRMED,CANDIDATE,0.9860,5497.00,74.00,-82.00,4.570,0.014,-0.063,0.0700,0.1500,-0.2000,0.8390,0.0650,-0.0350,0.9520,0.0340,-0.0670,,,
1305,10004738,K01598.02,Kepler-310 d,CONFIRMED,CANDIDATE,1.0000,5497.00,74.00,-82.00,4.570,0.014,-0.063,0.0700,0.1500,-0.2000,0.8390,0.0650,-0.0350,0.9520,0.0340,-0.0670,,,
1306,7304449,K01702.01,Kepler-1650 b,CONFIRMED,CANDIDATE,0.9990,3364.00,74.00,-67.00,4.978,0.070,-0.070,-0.0600,0.1500,-0.1000,0.2740,0.0620,-0.0500,0.2600,0.0720,-0.0590,,,
1307,7386827,K01704.01,Kepler-1765 b,CONFIRMED,CANDIDATE,1.0000,5692.00,173.00,-173.00,4.360,0.132,-0.198,0.0400,0.2500,-0.3000,1.0640,0.3110,-0.1910,0.9460,0.1250,-0.0910,,,
1308,7522911,K01705.01,Kepler-1670 b,CONFIRMED,CANDIDATE,1.0000,6249.00,174.00,-217.00,4.428,0.067,-0.202,-0.0400,0.2500,-0.3000,1.0760,0.3530,-0.1180,1.1300,0.1570,-0.1410,,,
1309,7626370,K01706.01,Kepler-932 b,CONFIRMED,CANDIDATE,1.0000,5238.00,158.00,-142.00,4.472,0.117,-0.273,-0.0800,0.3000,-0.2500,0.8510,0.1970,-0.1120,0.7840,0.1140,-0.0570,,,
1310,7703955,K01707.01,Kepler-315 b,CONFIRMED,CANDIDATE,0.9980,5792.00,104.00,-104.00,4.375,0.126,-0.103,-0.2600,0.1500,-0.1500,1.0050,0.1360,-0.1360,0.8750,0.0700,-0.0510,,,
1311,7512982,K01480.01,Kepler-859 b,CONFIRMED,CANDIDATE,1.0000,4883.00,77.00,-87.00,4.515,0.064,-0.020,0.1800,0.1500,-0.1500,0.8080,0.0280,-0.0550,0.7790,0.0430,-0.0280,,,
1312,7512982,K01480.02,,CANDIDATE,CANDIDATE,0.9770,4883.00,77.00,-87.00,4.515,0.064,-0.020,0.1800,0.1500,-0.1500,0.8080,0.0280,-0.0550,0.7790,0.0430,-0.0280,,,
1313,9597806,K01481.01,Kepler-860 b,CONFIRMED,CANDIDATE,1.0000,5869.00,164.00,-205.00,4.479,0.067,-0.202,-0.0400,0.2500,-0.3000,0.9540,0.2970,-0.0990,1.0010,0.1270,-0.1270,,,
1314,7812167,K01482.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6273.00,175.00,-263.00,4.442,0.056,-0.224,-0.1400,0.2500,-0.3000,1.0440,0.3390,-0.1210,1.0990,0.1540,-0.1540,,,
1315,11760959,K01484.01,,FALSE POSITIVE,FALSE POSITIVE,0.1330,4922.00,176.00,-176.00,4.555,0.066,-0.044,-0.1200,0.3000,-0.3000,0.7440,0.0650,-0.0720,0.7260,0.0930,-0.0570,,,
1316,5283458,K01547.01,,CANDIDATE,CANDIDATE,1.0000,6137.00,193.00,-236.00,4.460,0.054,-0.202,-0.0600,0.2500,-0.3500,1.0180,0.3240,-0.1080,1.0860,0.1530,-0.1530,,,
1317,9940565,K01548.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,4765.00,130.00,-130.00,4.642,0.032,-0.052,-0.2400,0.3000,-0.3000,0.6660,0.0660,-0.0540,0.7170,0.0660,-0.0720,,,
1318,8053552,K01549.01,,CANDIDATE,CANDIDATE,0.0000,5631.00,169.00,-169.00,4.410,0.171,-0.209,-0.4600,0.3000,-0.3000,0.9010,0.2440,-0.1630,0.7620,0.1160,-0.0450,,,
1319,9663113,K00179.02,Kepler-458 b,CONFIRMED,CANDIDATE,0.0000,6226.00,112.00,-124.00,4.264,0.115,-0.115,0.0000,0.1500,-0.1500,1.2990,0.2310,-0.1730,1.1290,0.1060,-0.0770,,,
1320,8111381,K01550.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5741.00,153.00,-170.00,4.555,0.035,-0.196,-0.1600,0.3000,-0.3000,0.8460,0.2340,-0.0780,0.9380,0.0950,-0.1060,,,
1321,5444549,K01551.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5919.00,182.00,-223.00,4.485,0.050,-0.200,0.2100,0.2000,-0.3000,1.0000,0.2890,-0.0960,1.1140,0.1090,-0.1500,,,
1322,10004738,K01598.03,Kepler-310 b,CONFIRMED,CANDIDATE,1.0000,5497.00,74.00,-82.00,4.570,0.014,-0.063,0.0700,0.1500,-0.2000,0.8390,0.0650,-0.0350,0.9520,0.0340,-0.0670,,,
1323,5474613,K01599.01,Kepler-1659 c,CONFIRMED,CANDIDATE,0.9000,5823.00,158.00,-193.00,4.472,0.052,-0.208,0.0600,0.2500,-0.3000,0.9720,0.2910,-0.1040,1.0200,0.1150,-0.1270,,,
1324,4860932,K01600.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6075.00,163.00,-199.00,4.495,0.052,-0.208,-0.1600,0.2500,-0.3500,0.9520,0.2910,-0.0970,1.0330,0.1260,-0.1400,,,
1325,5438757,K01601.01,Kepler-903 b,CONFIRMED,CANDIDATE,0.9990,5534.00,82.00,-74.00,4.338,0.138,-0.103,0.1400,0.1500,-0.1500,1.0800,0.1650,-0.1500,0.9260,0.0670,-0.0430,,,
1326,5438757,K01601.02,Kepler-903 c,CONFIRMED,CANDIDATE,0.8380,5534.00,82.00,-74.00,4.338,0.138,-0.103,0.1400,0.1500,-0.1500,1.0800,0.1650,-0.1500,0.9260,0.0670,-0.0430,,,
1327,7750419,K01708.01,,CANDIDATE,CANDIDATE,1.0000,5640.00,84.00,-76.00,4.076,0.203,-0.087,0.1200,0.1500,-0.1500,1.5340,0.2400,-0.3600,1.0230,0.0920,-0.0830,,,
1328,5972334,K00191.04,Kepler-487 c,CONFIRMED,CANDIDATE,0.0000,5422.00,108.00,-108.00,4.484,0.063,-0.077,0.0200,0.1500,-0.1500,0.8870,0.0900,-0.0670,0.8740,0.0550,-0.0460,,,
1329,7815744,K01710.01,Kepler-933 b,CONFIRMED,CANDIDATE,0.9970,5350.00,193.00,-171.00,4.647,0.030,-0.096,-0.5600,0.3000,-0.3000,0.6780,0.1050,-0.0450,0.7580,0.0720,-0.0720,,,
1330,7955580,K01711.01,Kepler-934 b,CONFIRMED,CANDIDATE,0.9910,4998.00,79.00,-79.00,4.530,0.056,-0.032,0.1400,0.1500,-0.1500,0.8080,0.0370,-0.0460,0.8060,0.0460,-0.0330,,,
1331,8230616,K01713.01,Kepler-316 c,CONFIRMED,CANDIDATE,1.0000,4198.00,83.00,-83.00,4.689,0.023,-0.028,-0.3200,0.1500,-0.1500,0.5740,0.0320,-0.0280,0.5870,0.0280,-0.0350,,,
1332,9692345,K01485.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,4478.00,133.00,-133.00,4.615,0.053,-0.025,-0.2200,0.3000,-0.3000,0.6510,0.0460,-0.0560,0.6370,0.0760,-0.0510,,,
1333,7898352,K01486.01,Kepler-302 c,CONFIRMED,CANDIDATE,1.0000,5733.00,115.00,-104.00,4.281,0.143,-0.104,0.0600,0.1500,-0.1500,1.1830,0.1840,-0.2020,0.9740,0.0790,-0.0650,,,
1334,11402995,K00173.01,Kepler-481 b,CONFIRMED,CANDIDATE,1.0000,5705.00,114.00,-103.00,4.297,0.156,-0.104,0.0000,0.1500,-0.1500,1.1400,0.1770,-0.1770,0.9390,0.0740,-0.0540,,,
1335,7898352,K01486.02,Kepler-302 b,CONFIRMED,CANDIDATE,1.0000,5733.00,115.00,-104.00,4.281,0.143,-0.104,0.0600,0.1500,-0.1500,1.1830,0.1840,-0.2020,0.9740,0.0790,-0.0650,,,
1336,12062667,K01487.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6634.00,161.00,-181.00,3.831,0.300,-0.100,-0.5000,0.3000,-0.3000,2.2510,0.4070,-0.7560,1.2530,0.2200,-0.1980,,,
1337,7984047,K01552.01,,CANDIDATE,CANDIDATE,0.9390,4812.00,172.00,-172.00,4.548,0.066,-0.039,0.0200,0.2500,-0.3000,0.7550,0.0540,-0.0740,0.7340,0.0830,-0.0600,,,
1338,7951018,K01553.01,Kepler-890 b,CONFIRMED,CANDIDATE,0.3310,6228.00,174.00,-239.00,4.413,0.054,-0.216,0.2100,0.2000,-0.3500,1.1370,0.3780,-0.1260,1.2210,0.1520,-0.1690,,,
1339,9899355,K01554.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5995.00,189.00,-231.00,4.536,0.048,-0.192,-0.3000,0.3000,-0.3000,0.8780,0.2560,-0.0850,0.9640,0.1170,-0.1290,,,
1340,12644774,K01555.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5665.00,189.00,-189.00,4.381,0.195,-0.214,-0.4400,0.3000,-0.3000,0.9380,0.2630,-0.1970,0.7730,0.1250,-0.0540,,,
1341,9902856,K01556.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6141.00,192.00,-213.00,4.468,0.070,-0.210,-0.3000,0.3000,-0.3000,0.9590,0.2930,-0.1040,0.9820,0.1400,-0.1150,,,
1342,7747425,K01952.04,Kepler-341 e,CONFIRMED,CANDIDATE,1.0000,5616.00,76.00,-76.00,4.327,0.132,-0.108,0.1400,0.1500,-0.1500,1.1110,0.1600,-0.1600,0.9570,0.0680,-0.0500,,,
1343,9892816,K01955.01,Kepler-342 b,CONFIRMED,CANDIDATE,0.9980,6297.00,113.00,-126.00,4.260,0.090,-0.110,0.1400,0.1500,-0.2000,1.3690,0.2280,-0.1870,1.2470,0.0910,-0.1110,,,
1344,9892816,K01955.02,Kepler-342 d,CONFIRMED,CANDIDATE,0.6030,6297.00,113.00,-126.00,4.260,0.090,-0.110,0.1400,0.1500,-0.2000,1.3690,0.2280,-0.1870,1.2470,0.0910,-0.1110,,,
1345,9836149,K01958.01,Kepler-66 b,CONFIRMED,CANDIDATE,1.0000,5964.00,107.00,-131.00,4.484,0.040,-0.120,-0.2200,0.1500,-0.1500,0.9330,0.1360,-0.0630,0.9680,0.0550,-0.0760,,,
1346,4813563,K01959.01,Kepler-1026 b,CONFIRMED,CANDIDATE,1.0000,4847.00,77.00,-77.00,4.540,0.052,-0.021,0.1400,0.1500,-0.1500,0.7810,0.0300,-0.0450,0.7720,0.0500,-0.0290,,,
1347,2985767,K02032.01,Kepler-1063 b,CONFIRMED,CANDIDATE,1.0000,5821.00,78.00,-78.00,4.097,0.221,-0.102,0.1400,0.1500,-0.1500,1.5470,0.2700,-0.4060,1.0920,0.1140,-0.0830,,,
1348,2304320,K02033.01,Kepler-1064 b,CONFIRMED,CANDIDATE,0.9980,5064.00,101.00,-101.00,4.572,0.028,-0.048,0.0000,0.1500,-0.1500,0.7690,0.0490,-0.0380,0.8060,0.0400,-0.0450,,,
1349,3657758,K02034.01,Kepler-1065 b,CONFIRMED,CANDIDATE,1.0000,5668.00,169.00,-186.00,4.545,0.036,-0.192,-0.0200,0.2500,-0.3000,0.8680,0.2460,-0.0820,0.9630,0.1040,-0.1150,,,
1350,9790806,K02035.01,Kepler-1066 b,CONFIRMED,CANDIDATE,1.0000,5461.00,73.00,-81.00,4.552,0.018,-0.102,0.1400,0.1500,-0.1500,0.8580,0.1010,-0.0340,0.9570,0.0330,-0.0710,,,
1351,6382217,K02036.01,Kepler-353 c,CONFIRMED,CANDIDATE,0.9780,3757.00,75.00,-83.00,4.718,0.039,-0.024,0.1800,0.1500,-0.1500,0.5390,0.0300,-0.0380,0.5520,0.0310,-0.0380,,,
1352,5375194,K01825.01,Kepler-964 b,CONFIRMED,CANDIDATE,1.0000,5338.00,106.00,-106.00,4.557,0.028,-0.077,0.0000,0.1500,-0.1500,0.8160,0.0780,-0.0390,0.8750,0.0430,-0.0580,,,
1353,6468138,K01826.01,Kepler-965 b,CONFIRMED,CANDIDATE,0.9870,5818.00,105.00,-117.00,4.276,0.143,-0.104,0.0200,0.1500,-0.1500,1.2000,0.1860,-0.1860,0.9910,0.0810,-0.0650,,,
1354,10019708,K00199.01,Kepler-490 b,CONFIRMED,CANDIDATE,0.9990,5927.00,80.00,-80.00,4.046,0.182,-0.098,0.1400,0.1500,-0.1500,1.6910,0.2610,-0.3920,1.1610,0.1320,-0.0960,,,
1355,11875734,K01828.01,Kepler-966 b,CONFIRMED,CANDIDATE,1.0000,5620.00,169.00,-152.00,4.363,0.194,-0.237,-0.3200,0.3500,-0.2500,0.9740,0.3460,-0.1860,0.7970,0.1170,-0.0580,,,
1356,7697568,K01829.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5381.00,175.00,-159.00,4.538,0.051,-0.119,-0.0600,0.3000,-0.3000,0.8260,0.1530,-0.0820,0.8580,0.0870,-0.0780,,,
1357,7046804,K00205.01,Kepler-492 b,CONFIRMED,CANDIDATE,0.9980,5215.00,158.00,-142.00,4.564,0.052,-0.078,-0.1600,0.3000,-0.3000,0.7700,0.1030,-0.0690,0.7920,0.0850,-0.0700,,,
1358,7449136,K01890.01,Kepler-1002 b,CONFIRMED,CANDIDATE,1.0000,6180.00,74.00,-80.00,4.133,0.015,-0.015,0.1200,0.1500,-0.1500,1.6030,0.0570,-0.0820,1.2750,0.0640,-0.1280,,,
1359,8680979,K01891.01,Kepler-330 c,CONFIRMED,CANDIDATE,1.0000,4891.00,78.00,-87.00,4.516,0.067,-0.018,0.1600,0.1500,-0.1500,0.8050,0.0280,-0.0560,0.7760,0.0480,-0.0280,,,
1360,8680979,K01891.02,Kepler-330 b,CONFIRMED,CANDIDATE,0.9900,4891.00,78.00,-87.00,4.516,0.067,-0.018,0.1600,0.1500,-0.1500,0.8050,0.0280,-0.0560,0.7760,0.0480,-0.0280,,,
1361,9030537,K01892.01,Kepler-1674 b,CONFIRMED,CANDIDATE,1.0000,5662.00,169.00,-152.00,4.560,0.042,-0.168,-0.1200,0.3000,-0.3000,0.8400,0.2200,-0.0730,0.9370,0.0940,-0.1150,,,
1362,6949061,K01960.01,Kepler-343 b,CONFIRMED,CANDIDATE,1.0000,5808.00,105.00,-117.00,4.185,0.176,-0.108,0.1400,0.1500,-0.1500,1.3740,0.2210,-0.2460,1.0540,0.1000,-0.0800,,,
1363,7269493,K01961.01,Kepler-1027 b,CONFIRMED,CANDIDATE,1.0000,5435.00,97.00,-119.00,4.578,0.010,-0.095,0.0700,0.1500,-0.1500,0.8240,0.0860,-0.0330,0.9370,0.0390,-0.0720,,,
1364,5513648,K01962.01,,CANDIDATE,CANDIDATE,1.0000,5899.00,79.00,-79.00,4.135,0.027,-0.027,-0.1200,0.1500,-0.1500,1.4140,0.0860,-0.0650,0.9950,0.0850,-0.0640,,,
1365,9164836,K00213.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6003.00,162.00,-180.00,4.536,0.050,-0.213,-0.3400,0.3000,-0.3000,0.8720,0.2690,-0.0900,0.9520,0.1170,-0.1170,,,
1366,7887791,K01964.01,,CANDIDATE,CANDIDATE,1.0000,5587.00,110.00,-110.00,4.525,0.035,-0.105,-0.0600,0.1500,-0.1500,0.8650,0.1090,-0.0500,0.9140,0.0500,-0.0670,,,
1367,11657891,K01965.01,Kepler-1028 b,CONFIRMED,CANDIDATE,1.0000,5662.00,152.00,-152.00,4.560,0.031,-0.168,-0.1200,0.3000,-0.3000,0.8400,0.2070,-0.0690,0.9370,0.0830,-0.1150,,,
1368,6305192,K00219.01,Kepler-494 b,CONFIRMED,CANDIDATE,1.0000,6002.00,120.00,-120.00,4.196,0.162,-0.108,0.0000,0.1500,-0.1500,1.3690,0.2410,-0.2410,1.0730,0.1020,-0.0820,,,
1369,6382217,K02036.02,Kepler-353 b,CONFIRMED,CANDIDATE,1.0000,3757.00,75.00,-83.00,4.718,0.039,-0.024,0.1800,0.1500,-0.1500,0.5390,0.0300,-0.0380,0.5520,0.0310,-0.0380,,,
1370,9634821,K02037.01,Kepler-1995 b,CONFIRMED,CANDIDATE,0.9790,5029.00,192.00,-174.00,4.429,0.130,-0.416,0.4800,0.0500,-0.2500,0.9300,0.4810,-0.1440,0.8470,0.0680,-0.0490,,,
1371,9634821,K02037.03,,CANDIDATE,CANDIDATE,1.0000,5029.00,192.00,-174.00,4.429,0.130,-0.416,0.4800,0.0500,-0.2500,0.9300,0.4810,-0.1440,0.8470,0.0680,-0.0490,,,
1372,8950568,K02038.01,Kepler-85 b,CONFIRMED,CANDIDATE,1.0000,5435.00,109.00,-109.00,4.495,0.063,-0.077,-0.0200,0.1500,-0.1500,0.8730,0.0900,-0.0680,0.8700,0.0550,-0.0490,,,
1373,3326377,K01830.01,Kepler-967 b,CONFIRMED,CANDIDATE,1.0000,5180.00,103.00,-103.00,4.548,0.036,-0.054,0.0000,0.1500,-0.1500,0.8000,0.0540,-0.0430,0.8250,0.0460,-0.0460,,,
1374,11601584,K01831.01,Kepler-324 c,CONFIRMED,CANDIDATE,1.0000,5191.00,103.00,-103.00,4.530,0.044,-0.055,0.0800,0.1500,-0.1500,0.8260,0.0610,-0.0500,0.8440,0.0490,-0.0440,,,
1375,11601584,K01831.02,Kepler-324 b,CONFIRMED,CANDIDATE,0.9500,5191.00,103.00,-103.00,4.530,0.044,-0.055,0.0800,0.1500,-0.1500,0.8260,0.0610,-0.0500,0.8440,0.0490,-0.0440,,,
1376,11601584,K01831.03,Kepler-324 d,CONFIRMED,CANDIDATE,0.8500,5191.00,103.00,-103.00,4.530,0.044,-0.055,0.0800,0.1500,-0.1500,0.8260,0.0610,-0.0500,0.8440,0.0490,-0.0440,,,
1377,11601584,K01831.04,Kepler-324 e,CONFIRMED,CANDIDATE,0.9800,5191.00,103.00,-103.00,4.530,0.044,-0.055,0.0800,0.1500,-0.1500,0.8260,0.0610,-0.0500,0.8440,0.0490,-0.0440,,,
1378,8689793,K01893.01,Kepler-1003 b,CONFIRMED,CANDIDATE,1.0000,6068.00,163.00,-181.00,4.565,0.036,-0.204,-0.5000,0.3000,-0.3000,0.8310,0.2400,-0.0600,0.9310,0.0890,-0.1190,,,
1379,11673802,K01894.01,Kepler-1004 b,CONFIRMED,CANDIDATE,1.0000,4994.00,52.00,-89.00,3.433,0.020,-0.024,0.0800,0.1000,-0.1500,3.8180,0.1850,-0.5170,1.4410,0.1210,-0.3380,,,
1380,4263293,K01895.01,Kepler-331 b,CONFIRMED,CANDIDATE,1.0000,4347.00,117.00,-143.00,4.730,0.050,-0.041,-0.8400,0.3000,-0.3500,0.5240,0.0450,-0.0450,0.5370,0.0430,-0.0430,,,
1381,4263293,K01895.02,Kepler-331 c,CONFIRMED,CANDIDATE,1.0000,4347.00,117.00,-143.00,4.730,0.050,-0.041,-0.8400,0.3000,-0.3500,0.5240,0.0450,-0.0450,0.5370,0.0430,-0.0430,,,
1382,4263293,K01895.03,Kepler-331 d,CONFIRMED,CANDIDATE,0.2430,4347.00,117.00,-143.00,4.730,0.050,-0.041,-0.8400,0.3000,-0.3500,0.5240,0.0450,-0.0450,0.5370,0.0430,-0.0430,,,
1383,5695524,K01897.01,Kepler-1774 b,CONFIRMED,CANDIDATE,0.9380,6214.00,173.00,-217.00,4.382,0.087,-0.217,-0.0200,0.2500,-0.3000,1.1220,0.3840,-0.1530,1.1010,0.1730,-0.1260,,,
1384,6205897,K01967.01,Kepler-1029 b,CONFIRMED,CANDIDATE,1.0000,4766.00,77.00,-77.00,4.645,0.015,-0.039,-0.2400,0.1500,-0.1500,0.6640,0.0370,-0.0270,0.7230,0.0290,-0.0510,,,
1385,7948784,K01968.01,Kepler-1778 b,CONFIRMED,CANDIDATE,1.0000,6310.00,168.00,-205.00,4.417,0.065,-0.195,-0.0600,0.2500,-0.3000,1.0950,0.3130,-0.1340,1.1430,0.1570,-0.1570,,,
1386,9244756,K01969.01,Kepler-1779 b,CONFIRMED,CANDIDATE,1.0000,5730.00,77.00,-86.00,4.394,0.080,-0.120,0.1600,0.1500,-0.1500,1.0560,0.1610,-0.0940,1.0080,0.0610,-0.0610,,,
1387,9650808,K01970.01,Kepler-344 b,CONFIRMED,CANDIDATE,1.0000,5774.00,156.00,-173.00,4.447,0.081,-0.189,-0.1000,0.3000,-0.3000,0.9580,0.2680,-0.1150,0.9370,0.1250,-0.1020,,,
1388,9650808,K01970.02,Kepler-344 c,CONFIRMED,CANDIDATE,0.8990,5774.00,156.00,-173.00,4.447,0.081,-0.189,-0.1000,0.3000,-0.3000,0.9580,0.2680,-0.1150,0.9370,0.1250,-0.1020,,,
1389,8950568,K02038.02,Kepler-85 c,CONFIRMED,CANDIDATE,1.0000,5435.00,109.00,-109.00,4.495,0.063,-0.077,-0.0200,0.1500,-0.1500,0.8730,0.0900,-0.0680,0.8700,0.0550,-0.0490,,,
1390,8950568,K02038.03,Kepler-85 d,CONFIRMED,CANDIDATE,0.8890,5435.00,109.00,-109.00,4.495,0.063,-0.077,-0.0200,0.1500,-0.1500,0.8730,0.0900,-0.0680,0.8700,0.0550,-0.0490,,,
1391,8950568,K02038.04,Kepler-85 e,CONFIRMED,CANDIDATE,0.9980,5435.00,109.00,-109.00,4.495,0.063,-0.077,-0.0200,0.1500,-0.1500,0.8730,0.0900,-0.0680,0.8700,0.0550,-0.0490,,,
1392,8804845,K02039.01,Kepler-1067 c,CONFIRMED,CANDIDATE,0.9510,5594.00,75.00,-83.00,4.489,0.038,-0.113,0.1600,0.1500,-0.1500,0.9340,0.1270,-0.0540,0.9810,0.0480,-0.0660,,,
1393,10480915,K02040.01,Kepler-1785 b,CONFIRMED,CANDIDATE,1.0000,5618.00,112.00,-101.00,4.401,0.100,-0.100,0.0000,0.1500,-0.1500,0.9960,0.1330,-0.1090,0.9110,0.0680,-0.0460,,,
1394,11709244,K01832.01,Kepler-325 b,CONFIRMED,CANDIDATE,1.0000,5445.00,81.00,-81.00,4.458,0.072,-0.096,0.1600,0.1500,-0.1500,0.9370,0.1050,-0.0780,0.9190,0.0520,-0.0460,,,
1395,11709244,K01832.02,Kepler-325 c,CONFIRMED,CANDIDATE,0.9740,5445.00,81.00,-81.00,4.458,0.072,-0.096,0.1600,0.1500,-0.1500,0.9370,0.1050,-0.0780,0.9190,0.0520,-0.0460,,,
1396,11709244,K01832.03,Kepler-325 d,CONFIRMED,CANDIDATE,0.9990,5445.00,81.00,-81.00,4.458,0.072,-0.096,0.1600,0.1500,-0.1500,0.9370,0.1050,-0.0780,0.9190,0.0520,-0.0460,,,
1397,10019708,K00199.02,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5927.00,80.00,-80.00,4.046,0.182,-0.098,0.1400,0.1500,-0.1500,1.6910,0.2610,-0.3920,1.1610,0.1320,-0.0960,,,
1398,11853878,K01833.01,Kepler-968 b,CONFIRMED,CANDIDATE,1.0000,4402.00,118.00,-144.00,4.682,0.045,-0.036,-0.5800,0.3000,-0.3000,0.5720,0.0490,-0.0490,0.5750,0.0580,-0.0420,,,
1399,5728139,K00206.01,Kepler-433 b,CONFIRMED,CANDIDATE,1.0000,6332.00,82.00,-75.00,4.016,0.180,-0.120,0.0400,0.1500,-0.1500,1.9050,0.3570,-0.4370,1.3730,0.1480,-0.1620,,,
1400,7668663,K01898.01,Kepler-1005 b,CONFIRMED,CANDIDATE,1.0000,5727.00,104.00,-115.00,4.328,0.137,-0.112,0.0000,0.1500,-0.1500,1.1040,0.1640,-0.1640,0.9460,0.0720,-0.0570,,,
1401,7047922,K01899.01,Kepler-1006 b,CONFIRMED,CANDIDATE,0.9750,6327.00,291.00,-542.00,4.327,0.158,-0.193,-0.1400,0.3000,-0.3000,1.1750,0.3890,-0.2590,1.0640,0.2120,-0.1730,,,
1402,9353314,K01900.01,Kepler-1007 b,CONFIRMED,CANDIDATE,1.0000,4325.00,131.00,-131.00,4.680,0.059,-0.027,-0.6400,0.3000,-0.3000,0.5600,0.0450,-0.0560,0.5470,0.0560,-0.0380,,,
1403,3629967,K01901.01,Kepler-1775 b,CONFIRMED,CANDIDATE,0.9560,5818.00,69.00,-86.00,4.065,0.202,-0.081,0.2400,0.1500,-0.1000,1.6470,0.2520,-0.3780,1.1490,0.1280,-0.1050,,,
1404,9347009,K01971.01,Kepler-1030 b,CONFIRMED,CANDIDATE,1.0000,5026.00,149.00,-149.00,4.604,0.020,-0.080,0.2100,0.2000,-0.3000,0.7630,0.0930,-0.0460,0.8750,0.0370,-0.0860,,,
1405,11253711,K01972.01,,CANDIDATE,CANDIDATE,0.9910,5855.00,79.00,-70.00,4.148,0.195,-0.105,-0.2600,0.1500,-0.1500,1.3400,0.2210,-0.2940,0.9200,0.0690,-0.0620,,,
1406,4917596,K01973.01,Kepler-1032 b,CONFIRMED,CANDIDATE,1.0000,4484.00,134.00,-134.00,4.654,0.054,-0.027,-0.5600,0.3000,-0.3000,0.5940,0.0460,-0.0510,0.5800,0.0630,-0.0390,,,
1407,4743513,K00024.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6131.00,168.00,-153.00,4.071,0.294,-0.126,-0.7400,0.3000,-0.2500,1.4170,0.2870,-0.4310,0.8620,0.1190,-0.0640,,,
1408,11046458,K00214.01,Kepler-424 b,CONFIRMED,CANDIDATE,1.0000,5461.00,73.00,-82.00,4.499,0.023,-0.120,0.4400,0.0500,-0.1500,0.9370,0.1200,-0.0340,1.0120,0.0290,-0.0570,,,
1409,9111849,K02042.01,,CANDIDATE,CANDIDATE,0.9940,6234.00,74.00,-74.00,3.209,0.458,-0.122,0.5600,0.0500,-0.1000,6.3540,1.5900,-3.1800,2.3820,0.2770,-0.5140,,,
1410,7132798,K00220.01,Kepler-119 b,CONFIRMED,CANDIDATE,1.0000,5598.00,149.00,-166.00,4.565,0.036,-0.144,-0.1000,0.3000,-0.3000,0.8300,0.1760,-0.0750,0.9280,0.0830,-0.1110,,,
1411,3448130,K02043.01,Kepler-1786 b,CONFIRMED,CANDIDATE,0.9830,5808.00,78.00,-78.00,4.172,0.162,-0.108,0.1400,0.1500,-0.1500,1.3970,0.2280,-0.2540,1.0580,0.1050,-0.0730,,,
1412,9656252,K02044.01,Kepler-1068 b,CONFIRMED,CANDIDATE,1.0000,5786.00,78.00,-86.00,4.465,0.038,-0.120,0.1600,0.1500,-0.1500,0.9900,0.1470,-0.0630,1.0440,0.0510,-0.0720,,,
1413,6026438,K02045.01,Kepler-354 b,CONFIRMED,CANDIDATE,1.0000,4650.00,125.00,-139.00,4.589,0.048,-0.028,-0.0400,0.3000,-0.3000,0.7060,0.0460,-0.0610,0.7040,0.0700,-0.0580,,,
